techs,demand_electricity,demand_electricity,demand_electricity
nodes,DEU,ITA,CHE
2017-01-01 00:00,0.4320205152939823,0.2251498963552488,0.065364016
2017-01-01 01:00,0.4206405017204312,0.21157990260201442,0.069019817
2017-01-01 02:00,0.40523048334007783,0.19806990882115982,0.069866217
2017-01-01 03:00,0.3979304746329669,0.19095991209415197,0.069100017
2017-01-01 04:00,0.38554045985473345,0.19090991211716876,0.066927516
2017-01-01 05:00,0.3739804460664865,0.19765990900989772,0.065501216
2017-01-01 06:00,0.3804104537359006,0.20007990789588356,0.061951515
2017-01-01 07:00,0.38669046122640155,0.20272990667599197,0.058978415
2017-01-01 08:00,0.41774049826144194,0.21530990088495944,0.063158216
2017-01-01 09:00,0.4475005337578285,0.2268098955910903,0.064704516
2017-01-01 10:00,0.4724205634812812,0.23575989147107912,0.064512416
2017-01-01 11:00,0.4489705355111782,0.23885989004403613,0.061459415143304434
2017-01-01 12:00,0.4082304869183427,0.22580989605142682,0.065249916
2017-01-01 13:00,0.4106104897570994,0.21646990035096916,0.064844616
2017-01-01 14:00,0.417340498,0.2211098982150081,0.062050615
2017-01-01 15:00,0.4388005233808607,0.23863989014531015,0.061347515
2017-01-01 16:00,0.4769305688606059,0.2774998722566358,0.064827316
2017-01-01 17:00,0.48281057587400483,0.2907498661571779,0.069312217
2017-01-01 18:00,0.47113056194262737,0.29649986351024327,0.069845017
2017-01-01 19:00,0.44660053268434907,0.29289986516745453,0.068890417
2017-01-01 20:00,0.4254905075052926,0.2814298704475136,0.066816216
2017-01-01 21:00,0.4264505086503374,0.26073987997187464,0.065073216
2017-01-01 22:00,0.40386048170600364,0.2365798910936032,0.063872016
2017-01-01 23:00,0.37959045275784165,0.21251990216929814,0.068321117
